term,estimate,std.error,statistic,p.value,team
(Intercept),0.6163208165409566,0.03733657995910937,16.50715778509828,3.2587357830912475e-61,"Team DK 1, Travelcare"
hour1,-0.19995029332455147,0.03826713511363273,-5.225117917262608,1.7404415934675434e-7,"Team DK 1, Travelcare"
hour2,-0.18875432660298433,0.038164379299778825,-4.945824616203786,7.5822202421043e-7,"Team DK 1, Travelcare"
hour3,-0.12714491812480977,0.037614295032362806,-3.3802286608167478,7.242554788997713e-4,"Team DK 1, Travelcare"
hour4,-0.05216599770792518,0.03697888439917958,-1.4106969032598113,0.15833400448374216,"Team DK 1, Travelcare"
hour5,0.0423339959831097,0.03622881315998799,1.1685173289050614,0.2425981534566156,"Team DK 1, Travelcare"
hour6,0.4617140729900047,0.03350350985605777,13.781065774113879,3.313441064397836e-43,"Team DK 1, Travelcare"
hour7,1.0586749507756157,0.03094863622762014,34.20748310165603,1.871509234762962e-256,"Team DK 1, Travelcare"
hour8,1.9794682286232936,0.02889808202407304,68.49825628477116,0,"Team DK 1, Travelcare"
hour9,2.45153407407782,0.02835543431465092,86.45729234382212,0,"Team DK 1, Travelcare"
hour10,2.4678307619794637,0.028340655579723217,87.07740563860186,0,"Team DK 1, Travelcare"
hour11,2.38196565318667,0.028421138406852512,83.80964967301814,0,"Team DK 1, Travelcare"
hour12,2.2735399577729885,0.028532506924027954,79.68244654515031,0,"Team DK 1, Travelcare"
hour13,2.3194107789495404,0.02848400431004996,81.4285363006769,0,"Team DK 1, Travelcare"
hour14,2.331976662380583,0.028471077699807373,81.90686306182081,0,"Team DK 1, Travelcare"
hour15,2.2960996983395385,0.028508392054380393,80.54118569576555,0,"Team DK 1, Travelcare"
hour16,2.008773703739173,0.02885700143040247,69.61131109148496,0,"Team DK 1, Travelcare"
hour17,1.7959371913919324,0.029182295869856902,61.542011615576804,0,"Team DK 1, Travelcare"
hour18,1.5710835621697594,0.029602598589835084,53.07248812640512,0,"Team DK 1, Travelcare"
hour19,1.4473380170186916,0.02987337226751348,48.44910055878206,0,"Team DK 1, Travelcare"
hour20,1.281438531578711,0.030287224228228677,42.30954021809528,0,"Team DK 1, Travelcare"
hour21,1.0221116264014647,0.03107018232815519,32.89686605653573,2.4367817263865652e-237,"Team DK 1, Travelcare"
hour22,0.6191251730705798,0.03269926995337995,18.93391424191671,5.99386738855729e-80,"Team DK 1, Travelcare"
hour23,0.23004585554925122,0.03489467200844493,6.592578244999046,4.322532365905216e-11,"Team DK 1, Travelcare"
weekdayTue,-0.04883645446553953,0.01136983465726126,-4.29526514128774,1.7448467161386374e-5,"Team DK 1, Travelcare"
weekdayWed,-0.054051265354780394,0.011381738319015958,-4.748946412207934,2.044791101627924e-6,"Team DK 1, Travelcare"
weekdayThu,-0.05805298126466727,0.011391268427224073,-5.096270150734578,3.4641069687977307e-7,"Team DK 1, Travelcare"
weekdayFri,-0.029510649788441402,0.011351441151840558,-2.5997271530281822,0.009329790821110073,"Team DK 1, Travelcare"
weekdaySat,-0.28684170176818147,0.011805027100568613,-24.298267113200033,2.0447728575085272e-130,"Team DK 1, Travelcare"
weekdaySun,-0.4077046897143796,0.01202909052653454,-33.89322649247992,8.382676343284315e-252,"Team DK 1, Travelcare"
month2,0.22817066596290567,0.016685276884339722,13.674970307328822,1.4326575385082592e-42,"Team DK 1, Travelcare"
month3,-0.003015998717091852,0.017509777723453957,-0.17224654502906617,0.8632437070229964,"Team DK 1, Travelcare"
month4,-0.19137448200360813,0.020617392624934266,-9.282186427985256,1.6603583114436698e-20,"Team DK 1, Travelcare"
month5,-0.251253064355305,0.023077491477691326,-10.887364625318469,1.3241670230167103e-27,"Team DK 1, Travelcare"
month6,-0.19575614342145242,0.02669649445870046,-7.332653495922007,2.25639798851196e-13,"Team DK 1, Travelcare"
month7,0.37336226101157205,0.03502379871319331,10.660244597366537,1.561861343866717e-26,"Team DK 1, Travelcare"
month8,-0.01879979478475249,0.033760834537351604,-0.5568521940402026,0.5776284196081025,"Team DK 1, Travelcare"
month9,0.03757620369295651,0.037567410611953685,1.0002340614074696,0.31719724910252306,"Team DK 1, Travelcare"
month10,8.101645421275665e-4,0.04180191839943082,0.019381037357811735,0.9845371375645278,"Team DK 1, Travelcare"
month11,-0.37592422118121377,0.04606317998233628,-8.161056647095759,3.321063608345715e-16,"Team DK 1, Travelcare"
month12,-0.3395123133111445,0.04860702865427035,-6.984839903010957,2.8518099658668583e-12,"Team DK 1, Travelcare"
week_c,7.202366557949558e-6,0.0010115343871551948,0.007120238965088722,0.9943189192636213,"Team DK 1, Travelcare"
year_c,0.08223661120060825,0.003827813785702221,21.48396338081576,2.1991812679773153e-102,"Team DK 1, Travelcare"
Juleferie,0.12599009271734318,0.01767436620071898,7.1284079602366734,1.015364583989875e-12,"Team DK 1, Travelcare"
Vinterferie,0.5587345752261745,0.024867346123462367,22.468604910718955,8.419459470192998e-112,"Team DK 1, Travelcare"
Påskeferie,0.23351721866786648,0.022497287914005536,10.379794202771077,3.064350365692394e-25,"Team DK 1, Travelcare"
Sommerferie,0.28831067023044177,0.019189101319516556,15.024709361308712,5.058271068410588e-51,"Team DK 1, Travelcare"
Efterårsferie,0.28842800438364546,0.027065979797936537,10.656477487123327,1.6264130007409365e-26,"Team DK 1, Travelcare"
(Intercept),-0.9089604300391675,0.059659607303274846,-15.235776283583963,2.0468154040794768e-52,"Team FI 1, Travelcare"
hour1,-0.05407239030225854,0.05049566476530409,-1.0708323289450394,0.2842448277377393,"Team FI 1, Travelcare"
hour2,0.10107005496817562,0.0486892966470831,2.0758166974718573,0.03791090745348095,"Team FI 1, Travelcare"
hour3,0.1897038855208095,0.047731427646162894,3.97440208424312,7.055628093072727e-5,"Team FI 1, Travelcare"
hour4,0.4281168521921468,0.04550050802618933,9.409056530659612,5.0061014387039204e-21,"Team FI 1, Travelcare"
hour5,0.5016351970745258,0.044872065386094936,11.179231282497945,5.15344332876891e-29,"Team FI 1, Travelcare"
hour6,1.0285281889618265,0.04156156644513045,24.747098748544254,3.331469339914798e-135,"Team FI 1, Travelcare"
hour7,1.5788559187437543,0.039682413829083725,39.78729533803187,0,"Team FI 1, Travelcare"
hour8,2.1343819979640335,0.03971900947288885,53.7370399284732,0,"Team FI 1, Travelcare"
hour9,2.35554551389106,0.041144069701772985,57.25115505016643,0,"Team FI 1, Travelcare"
hour10,2.3989988468261583,0.042057133342997495,57.04142570205849,0,"Team FI 1, Travelcare"
hour11,2.3200680370329083,0.041832960958756826,55.46028738726543,0,"Team FI 1, Travelcare"
hour12,2.2488040482762175,0.041278461103484494,54.47887319826432,0,"Team FI 1, Travelcare"
hour13,2.262751415282212,0.04108411357570178,55.07606756837665,0,"Team FI 1, Travelcare"
hour14,2.2300595594785864,0.040924590160561734,54.49192162289882,0,"Team FI 1, Travelcare"
hour15,2.1158479224105533,0.04050836167064278,52.23237462955582,0,"Team FI 1, Travelcare"
hour16,2.005679957749613,0.04006457958441511,50.061175695696335,0,"Team FI 1, Travelcare"
hour17,1.8910349266711397,0.0397870981455922,47.52884766190564,0,"Team FI 1, Travelcare"
hour18,1.696914375895386,0.039723141293680174,42.71853435129411,0,"Team FI 1, Travelcare"
hour19,1.5178406590149371,0.0398950895462848,38.04580153289279,0,"Team FI 1, Travelcare"
hour20,1.3510368654180847,0.04027187963103996,33.5478968897384,9.661732883166859e-247,"Team FI 1, Travelcare"
hour21,1.0714862891916175,0.041291603577127196,25.949253513252987,1.853917582685141e-148,"Team FI 1, Travelcare"
hour22,0.6469736949788015,0.043680137532571085,14.811622204631817,1.2323001681529671e-49,"Team FI 1, Travelcare"
hour23,0.20222448965866835,0.04745949171744631,4.260991475901748,2.035219964786626e-5,"Team FI 1, Travelcare"
