team,n,mean,median,sd,p10,p90
"Team DK 1, Travelcare",267810,319.1177215190037,225,274.2254921573621,69,701
"Team FI 1, Travelcare",150133,310.002038192795,242,243.34256262605322,78,631
"Team NO 1, Travelcare",234325,324.4960460898453,235,279.51557507185106,68,702
"Team SE 1, Travelcare",236023,337.8660384792537,239,299.1276872374121,72,740
"Team SE 2, Travelcare",123853,369.3740401927904,257,327.79636174051865,68,825
ALL,1012144,329.5323866959623,237,284.7525402674709,70,715
