term,estimate,std.error,statistic,p.value,team
(Intercept),-0.22736876608154644,0.04594536672033211,-4.948676706957905,7.471973603624104e-7,"Team SE 2, Travelcare"
hour1,-0.12877796382779466,0.06066093365779677,-2.1229143051813675,0.03376103349551206,"Team SE 2, Travelcare"
hour2,-0.07063205051098512,0.059821180180280716,-1.180719776810222,0.23771406234875714,"Team SE 2, Travelcare"
hour3,0.06137234189162981,0.058047924831447086,1.0572702137042072,0.29038828323274124,"Team SE 2, Travelcare"
hour4,0.1903639186934003,0.05648246862950045,3.3703186725442515,7.508130123747522e-4,"Team SE 2, Travelcare"
hour5,0.2693736495616668,0.055599608492375434,4.8448839275299385,1.2668571968109524e-6,"Team SE 2, Travelcare"
hour6,0.5654653364239219,0.052751281496365765,10.719461601380793,8.2482057962529293e-27,"Team SE 2, Travelcare"
hour7,1.1840061120933245,0.04866973484334942,24.327359002555067,1.0068115862523097e-130,"Team SE 2, Travelcare"
hour8,2.047816732129159,0.045685826415308606,44.823896004712914,0,"Team SE 2, Travelcare"
hour9,2.463479196790806,0.04490686626854753,54.857517379613064,0,"Team SE 2, Travelcare"
hour10,2.609252024540459,0.04469828954729569,58.37476223289449,0,"Team SE 2, Travelcare"
hour11,2.532227297920034,0.04480491369296975,56.51673196543532,0,"Team SE 2, Travelcare"
hour12,2.425633692896307,0.044965879813527516,53.943872619758686,0,"Team SE 2, Travelcare"
hour13,2.400984474573865,0.04500546429004477,53.348732480579336,0,"Team SE 2, Travelcare"
hour14,2.428546197126251,0.04496126306357634,54.0141898080627,0,"Team SE 2, Travelcare"
hour15,2.350180048356998,0.04509000981592847,52.12196799138364,0,"Team SE 2, Travelcare"
hour16,2.298210649595437,0.04518077901723038,50.86699918828268,0,"Team SE 2, Travelcare"
hour17,2.052286633342626,0.04567573549614517,44.931660345476644,0,"Team SE 2, Travelcare"
hour18,1.7111101473927575,0.046579955119953366,36.734903307362195,2.0254331116801236e-295,"Team SE 2, Travelcare"
hour19,1.4688274328664295,0.04741803084849197,30.976137274859916,1.1300719608024094e-210,"Team SE 2, Travelcare"
hour20,1.3087519810024832,0.048081965550522056,27.21918636265637,3.850713142405153e-163,"Team SE 2, Travelcare"
hour21,1.021816763847748,0.0495380334474828,20.62691416547683,1.5737793665387045e-94,"Team SE 2, Travelcare"
hour22,0.5661701101624497,0.05274529723313717,10.73403961797667,7.044763479654273e-27,"Team SE 2, Travelcare"
hour23,0.23253216212597355,0.05600435471786524,4.1520371638492675,3.2952873116872156e-5,"Team SE 2, Travelcare"
weekdayTue,-0.048497994502583956,0.016234517712757267,-2.9873381741715486,0.002814182377102008,"Team SE 2, Travelcare"
weekdayWed,-0.08737137492622407,0.016323468731833737,-5.352500523117,8.674705233889232e-8,"Team SE 2, Travelcare"
weekdayThu,-0.10714994451252328,0.016373624241849943,-6.5440578658605615,5.987161327277398e-11,"Team SE 2, Travelcare"
weekdayFri,-0.10918493300164553,0.016373505548581413,-6.668390753445295,2.5862345301683854e-11,"Team SE 2, Travelcare"
weekdaySat,-0.4291902302150935,0.017231190494574992,-24.907752621632163,6.131942126305301e-137,"Team SE 2, Travelcare"
weekdaySun,-0.5285361970108597,0.017546221845648993,-30.1225073785285,2.4584843717164275e-199,"Team SE 2, Travelcare"
month2,0.0549638918373043,0.02333328552668511,2.3556001907423134,0.018492809330074893,"Team SE 2, Travelcare"
month3,-0.07467683370774925,0.023817456771705055,-3.1353823552002713,0.0017163025240644854,"Team SE 2, Travelcare"
month4,-0.3143013643123594,0.02509199280637338,-12.52596263428414,5.383418264936594e-36,"Team SE 2, Travelcare"
month5,-0.17553310360183352,0.023403481317935026,-7.500298832350017,6.367250563355751e-14,"Team SE 2, Travelcare"
month6,-0.08899692303375688,0.02715285370381939,-3.2776268750432793,0.001046836730253615,"Team SE 2, Travelcare"
month7,0.11902983920294886,0.031428210211377094,3.7873565946768344,1.5225850881618223e-4,"Team SE 2, Travelcare"
month8,-0.18713916755030108,0.02743552982088905,-6.821051708205605,9.03764016797714e-12,"Team SE 2, Travelcare"
month9,-0.060963987371074585,0.023216774911164202,-2.6258594315681183,0.008643050254202348,"Team SE 2, Travelcare"
month10,-0.08004414415573737,0.023247491152083164,-3.4431304277995074,5.750219210192989e-4,"Team SE 2, Travelcare"
month11,-0.008032025991706862,0.02354000218424921,-0.3412075295847318,0.7329473552713462,"Team SE 2, Travelcare"
month12,-0.025631251593344926,0.02200575553669642,-1.1647521736121575,0.2441193232595369,"Team SE 2, Travelcare"
year_c,0.21314371975857796,0.00558033152070139,38.19552995514288,0,"Team SE 2, Travelcare"
Juleferie,0.29590669999498986,0.023698179199990926,12.486474066121636,8.848912478578547e-36,"Team SE 2, Travelcare"
Vinterferie,0.15939510001463192,0.03419190406701322,4.661778990202801,3.1348773654340512e-6,"Team SE 2, Travelcare"
Påskeferie,-0.032272225781651113,0.03622651487693237,-0.8908454454226511,0.373012090897237,"Team SE 2, Travelcare"
Sommerferie,0.40508928051230797,0.02301331756834017,17.602385197586486,2.3616523701725926e-69,"Team SE 2, Travelcare"
Efterårsferie,0.2359952907284204,0.03355846004779737,7.032363534926571,2.0306388116188023e-12,"Team SE 2, Travelcare"
