team,model,n,RMSE,MAE,MAPE,SMAPE,Bias_mean,Bias_sd
"Team DK 1, Travelcare",NegBin_no_week,7560,4.513136152415498,3.1951257262718342,0.7272383062233814,0.5708386767666501,0.9091321798827323,4.420911880598697
"Team DK 1, Travelcare",NegBin_with_week,7560,4.3073812826164986,3.0958095591506214,0.7124215928392569,0.5655909951576452,0.9018319272401321,4.2121941539900005
"Team FI 1, Travelcare",NegBin_no_week,7560,2.789320763854691,2.037855508302713,0.7298698621149821,0.713317842747656,0.45279197436095103,2.7525064771294083
"Team FI 1, Travelcare",NegBin_with_week,7560,2.7889625987964206,2.038740838756977,0.7256201966775317,0.7144854582454427,0.4253135118532034,2.7565242384039217
"Team NO 1, Travelcare",NegBin_no_week,7560,3.366791940361221,2.4392109428115694,0.7234576926731465,0.6225468906297387,1.0974783144835534,3.183106902538376
"Team NO 1, Travelcare",NegBin_with_week,7560,3.3428749248148266,2.4184687022194744,0.7199444421853587,0.620720645016902,1.098521980827466,3.1574326472269814
"Team SE 1, Travelcare",NegBin_no_week,7560,4.155702592802033,3.0585832625974647,0.8301335256543161,0.6149710056547326,1.4937192237775916,3.8782285163663226
"Team SE 1, Travelcare",NegBin_with_week,7560,4.12044322900201,3.04556190639666,0.8245621666476257,0.6140690787108284,1.4994801456644458,3.8381714807022327
"Team SE 2, Travelcare",NegBin_no_week,7560,3.855970772126003,2.558797419453688,0.5820598124781432,0.719973829118022,-1.1557584115262356,3.6789296501218187
"Team SE 2, Travelcare",NegBin_with_week,7560,3.891600919825023,2.5839619116164645,0.5851459659245667,0.725316685869755,-1.1685450940560123,3.7122611640960432
